================================================================
MINERVINI'S HISTORICAL TWITTER TRADE IDEAS
================================================================
Source: Charlie M's Notion (puzzled-savory-63c.notion.site)
Collection by: @traderCharlieM
About: Mark Minervini's Twitter trade ideas database
================================================================

=== DESCRIPTION ===

Welcome! I have gone through every tweet Mark Minervini has made since the start of his Twitter account (over 10,000 tweets), and recorded almost all of the trades/ideas he has shared on his Twitter page. (made by @traderCharlieM)

Before we go into the instructions and how to use this, I would like to thank Mark Minervini for everything he has done. Most of what I know from trading, I have learned from him. We are blessed to have Mark sharing his wisdom, and his tweets are a treasure trove of them. 💓

Lastly, I’ve also collected a database of hundreds of Mark Minervini’s best tweets on Trading and Mindset wisdom, if you’d like them can get them by clicking the link below:
https://drive.google.com/drive/folders/1G2G8jhkrYlc-zH2_jLmbmoyBYTbbvoXi?usp=sharing

Instructions📔: 

When you over hover over a ticker, click the ‘OPEN’ button that pops up. It will open a tab showing Mark’s tweet explaining the trade idea. Then there will be a corresponding chart. The chart has the 20 (blue), 50 (green), and 200 (pink) simple moving averages on them and volume. The blue horizontal lines are pivots I drew in highlighting where Mark was most likely watching to buy as price was breaking out from. For some charts, if there is a dotted line connected to a candle, that means Mark bought on that day. You can disregard the Dollar volume and ADR boxes if they aren’t important to you. Some of the charts have the 10 & 20 EMAs instead of the 20SMA only. If there is another tweet after that chart, that means Mark followed up with another tweet on the trade and there will be another chart corresponding to that tweet. This will continue on until Mark does not share about the trade anymore. For many of the trades, Mark shared the entry only and the trade wasn’t talked about again.

Please note that not all of the trade ideas here were trades Mark took himself! Some were tickers he put on the Buy Alert list for MPA and other circumstances. I also did not record any short trade ideas he shared. Also, for some charts, they are in arithmetic scale and for others they are in log scale to view better. If the price axis is decimalized (ex: 176.54), it is most likely in log scale.

⚠️PLEASE READ THIS⚠️: With the charts, I try to provide as accurately as I could the buy points Mark most likely bought through. However, sometimes, it was hard to discern where he bought and I could not tell from the tweets alone, so some of the pivots and buy points I highlight can be wrong. I believe that for over 90% of the entries, I did highlight the buy points correctly. For the ones I was unsure about, many will show me expressing my uncertainty on where he bought. Expect some mistakes and imperfections with this log.


Disclaimer: The information provided is for educational and informational purposes only. I am not a financial advisor.


=== DATABASE SCHEMA ===
Column 1: Ticker (title) - Stock ticker symbol
Column 2: Date (date) - Date of the trade idea tweet

=== INSTRUCTIONS (from the page) ===

When you hover over a ticker, click the OPEN button that pops up.
It will open a tab showing Mark's tweet explaining the trade idea.
Then there will be a corresponding chart with:
  - 20 SMA (blue)
  - 50 SMA (green)
  - 200 SMA (pink)
  - Volume bars
  - Blue horizontal lines = pivots (breakout buy points)
  - Dotted lines connected to candles = Mark bought on that day
  - Dollar volume and ADR boxes (optional info)
  - Some charts have 10 & 20 EMAs instead of 20SMA

Notes:
  - Not all trade ideas were trades Mark took himself
  - Some were Buy Alert list tickers for MPA
  - No short trade ideas were recorded
  - Charts are in arithmetic or log scale
  - Buy points highlighted are ~90%+ accurate

Google Drive link for Mark Minervini Trading & Mindset wisdom tweets:
https://drive.google.com/drive/folders/1G2G8jhkrYlc-zH2_jLmbmoyBYTbbvoXi?usp=sharing

================================================================
=== ALL 908 TRADE IDEAS (sorted by date) ===
================================================================

No. | Ticker | Date
648 | FRPT    | 2020-06-01
649 | NLTX    | 2020-06-01
650 | NLS     | 2020-06-01
651 | DVA     | 2020-06-04
652 | KNSA    | 2020-06-08
653 | DDOG    | 2020-06-08
654 | AMD     | 2020-06-09
655 | GBTC    | 2020-06-10
656 | NET     | 2020-06-15
657 | VIPS    | 2020-06-15
658 | PTON    | 2020-06-15
659 | TWLO    | 2020-06-16
660 | WING    | 2020-06-17
661 | TNDM    | 2020-06-17
662 | NGM     | 2020-06-17
663 | BJ      | 2020-06-19
664 | BVXV    | 2020-06-19
665 | BNTX    | 2020-06-22
666 | RNG     | 2020-06-22
667 | CSTL    | 2020-06-22
668 | FTNT    | 2020-06-22
669 | TGTX    | 2020-06-22
670 | ECOM    | 2020-06-22
671 | PTGX    | 2020-06-25
672 | DXCM    | 2020-06-26
673 | DAVA    | 2020-06-26
674 | AKAM    | 2020-06-26
675 | HALO    | 2020-06-29
676 | KRNT    | 2020-06-30
677 | TSM     | 2020-07-01
678 | IMMU    | 2020-07-01
679 | AMGN    | 2020-07-01
680 | CIEN    | 2020-07-06
681 | NGVC    | 2020-07-07
682 | SAM     | 2020-07-07
683 | PZZA    | 2020-07-07
684 | PRTS    | 2020-07-08
685 | ABT     | 2020-07-09
686 | CHTR    | 2020-07-10
687 | AUDC    | 2020-07-16
688 | MNST    | 2020-07-17
689 | SPTN    | 2020-07-21
690 | OBCI    | 2020-07-21
691 | KR      | 2020-07-21
692 | SFM     | 2020-07-21
693 | AMD     | 2020-07-22
694 | RGR     | 2020-07-29
695 | IRTC    | 2020-07-29
696 | XPEL    | 2020-07-29
697 | Z       | 2020-07-30
698 | TGT     | 2020-07-31
699 | MA      | 2020-08-03
700 | CYBE    | 2020-08-03
701 | ZM      | 2020-08-03
702 | SWBI    | 2020-08-03
703 | INFU    | 2020-08-07
704 | QUMU    | 2020-08-17
705 | CMBM    | 2020-08-17
706 | NLOK    | 2020-08-19
707 | RVNC    | 2020-08-24
708 | AMRC    | 2020-08-25
709 | MYOK    | 2020-08-25
710 | DKNG    | 2020-08-25
711 | SWTX    | 2020-08-25
712 | NFLX    | 2020-08-26
713 | TNDM    | 2020-08-27
714 | SPOT    | 2020-08-28
715 | SHOP    | 2020-09-01
716 | RPAY    | 2020-09-01
717 | RVNC    | 2020-09-14
718 | AEM     | 2020-09-14
719 | TSM     | 2020-09-15
720 | AVTR    | 2020-09-16
721 | PNTG    | 2020-09-22
722 | VSTO    | 2020-09-22
723 | SNAP    | 2020-09-22
724 | PINS    | 2020-09-22
725 | LPRO    | 2020-09-25
726 | BCLI    | 2020-09-28
727 | OPRX    | 2020-09-28
728 | REGI    | 2020-09-29
729 | SAIL    | 2020-09-30
730 | LEN     | 2020-09-30
731 | BRP     | 2020-10-01
732 | CVNA    | 2020-10-01
733 | DECK    | 2020-10-01
734 | ETSY    | 2020-10-01
735 | EXPI    | 2020-10-01
736 | W       | 2020-10-01
737 | CRWD    | 2020-10-01
738 | DNLI    | 2020-10-02
739 | RGEN    | 2020-10-05
740 | MRVL    | 2020-10-05
741 | GLOB    | 2020-10-05
742 | QCOM    | 2020-10-06
743 | EPAM    | 2020-10-06
744 | BILL    | 2020-10-06
745 | AMZN    | 2020-10-08
746 | HZNP    | 2020-10-08
747 | IDXX    | 2020-10-09
748 | TDOC    | 2020-10-13
749 | TSLA    | 2020-10-14
750 | REPL    | 2020-10-14
751 | CMBM    | 2020-10-15
752 | BEKE    | 2020-10-15
753 | SGC     | 2020-10-16
754 | SRPT    | 2020-10-25
755 | YETI    | 2020-10-27
756 | RPD     | 2020-10-27
757 | IMVT    | 2020-10-29
758 | AMD     | 2020-10-30
759 | RARE    | 2020-10-30
760 | NTLA    | 2020-11-03
761 | GO      | 2020-11-04
762 | HEAR    | 2020-11-04
763 | TSLA    | 2020-11-09
764 | SRRK    | 2020-11-12
765 | TGTX    | 2020-11-18
766 | LAD     | 2020-11-18
767 | GRAY    | 2020-11-23
768 | COOP    | 2020-11-24
769 | FDX     | 2020-11-24
770 | IBB     | 2020-11-27
771 | AHCO    | 2020-11-30
772 | TPTX    | 2020-12-01
773 | SSTK    | 2020-12-01
774 | SE      | 2020-12-03
775 | FOCS    | 2020-12-03
776 | Z       | 2020-12-07
777 | FND     | 2020-12-08
778 | PENN    | 2020-12-08
779 | TME     | 2020-12-08
780 | MBUU    | 2020-12-14
781 | PYPL    | 2020-12-14
782 | XLRN    | 2020-12-15
783 | CMG     | 2020-12-15
784 | DDOG    | 2020-12-15
785 | SHOP    | 2020-12-16
786 | FVRR    | 2020-12-18
787 | EDIT    | 2020-12-21
788 | CRIS    | 2020-12-21
789 | AMRK    | 2020-12-22
790 | CDAY    | 2020-12-22
791 | GNRC    | 2020-12-24
792 | DKL     | 2020-12-29
793 | IMAB    | 2020-12-31
794 | ANF     | 2021-01-04
795 | SPOT    | 2021-01-07
796 | HVT     | 2021-01-08
797 | GM      | 2021-01-11
798 | STAA    | 2021-01-12
799 | DOCU    | 2021-01-12
800 | PRVB    | 2021-01-12
801 | AOSL    | 2021-01-12
802 | ARVN    | 2021-01-13
803 | TPTX    | 2021-01-14
804 | MCFE    | 2021-01-22
805 | DKNG    | 2021-01-28
806 | BAND    | 2021-02-02
807 | ODP     | 2021-02-04
808 | HGEN    | 2021-02-04
809 | MP      | 2021-02-09
810 | UAVS    | 2021-02-09
811 | TPGY    | 2021-02-09
812 | CLF     | 2021-02-17
813 | RAVN    | 2021-02-18
814 | IRIX    | 2021-02-22
815 | SLV     | 2021-02-22
816 | F       | 2021-02-22
817 | ABG     | 2021-02-24
818 | PSMT    | 2021-02-24
819 | GPRE    | 2021-03-02
820 | NMM     | 2021-03-02
821 | LYFT    | 2021-03-03
822 | FIVE    | 2021-03-03
823 | JOUT    | 2021-03-04
824 | GPI     | 2021-03-08
825 | CNX     | 2021-03-10
826 | OMI     | 2021-03-10
827 | FDX     | 2021-03-11
828 | WD      | 2021-03-11
829 | TME     | 2021-03-18
830 | GBTC    | 2021-03-18
831 | AMAT    | 2021-03-24
832 | CSX     | 2021-03-25
833 | ENSG    | 2021-03-26
834 | OMP     | 2021-03-31
835 | USAC    | 2021-04-01
836 | FRHC    | 2021-04-01
837 | R       | 2021-04-05
838 | RICK    | 2021-04-05
839 | GBOX    | 2021-04-05
840 | RICK    | 2021-04-05
841 | GM      | 2021-04-05
842 | MYGN    | 2021-04-06
843 | TWTR    | 2021-04-06
844 | SQ      | 2021-04-06
845 | YETI    | 2021-04-06
846 | VCEL    | 2021-04-08
847 | NARI    | 2021-04-08
848 | ZIM     | 2021-04-08
849 | RBLX    | 2021-04-09
850 | AVID    | 2021-04-12
851 | NAII    | 2021-04-12
852 | DECK    | 2021-04-12
853 | GBTC    | 2021-04-13
854 | SWKS    | 2021-04-14
855 | HGV     | 2021-04-14
856 | SKY     | 2021-04-15
857 | SOXX    | 2021-04-15
858 | HZNP    | 2021-04-15
859 | APAM    | 2021-04-15
860 | VAC     | 2021-04-23
861 | SOXX    | 2021-04-26
862 | NATR    | 2021-04-30
863 | ZEUS    | 2021-05-03
864 | PATH    | 2021-05-18
865 | SKYT    | 2021-05-19
866 | RBLX    | 2021-05-21
867 | GME     | 2021-05-24
868 | AZUL    | 2021-05-25
869 | TV      | 2021-05-27
870 | CDMO    | 2021-05-27
871 | MD      | 2021-05-27
872 | FDX     | 2021-05-27
873 | GM      | 2021-06-03
874 | CLFD    | 2021-06-04
875 | CAR     | 2021-06-08
876 | SE      | 2021-06-08
877 | ZLAB    | 2021-06-09
878 | CLF     | 2021-06-09
879 | TPX     | 2021-06-10
880 | SNAP    | 2021-06-11
881 | SMH     | 2021-06-14
882 | SOXX    | 2021-06-14
883 | HSKA    | 2021-06-14
884 | SMPH    | 2021-06-15
885 | OXY     | 2021-06-16
886 | ZIM     | 2021-06-24
887 | COIN    | 2021-06-28
888 | AN      | 2021-07-19
889 | PFE     | 2021-07-20
890 | ROKU    | 2021-07-21
891 | PYPL    | 2021-07-21
892 | HZNP    | 2021-07-22
893 | DOCS    | 2021-07-22
894 | CRWD    | 2021-07-22
895 | PANW    | 2021-07-23
896 | SKY     | 2021-07-30
897 | SQ      | 2021-08-02
898 | IBB     | 2021-08-03
899 | FATE    | 2021-08-05
900 | X       | 2021-08-09
901 | NUE     | 2021-08-09
902 | STLD    | 2021-08-10
903 | PAG     | 2021-09-01
904 | CYTK    | 2021-09-27
905 | UPST    | 2021-10-12
906 | ASYS    | 2021-10-26
907 | AAPL    | 2021-11-17
908 | XLE     | 2022-01-03

================================================================
Total entries: 908
Date range: 1997-04-16 to 2022-01-03
================================================================
Unique tickers: 696

Breakdown by year:
  1997: 22 trade ideas
  2010: 50 trade ideas
  2011: 21 trade ideas
  2012: 56 trade ideas
  2013: 64 trade ideas
  2014: 59 trade ideas
  2015: 49 trade ideas
  2016: 43 trade ideas
  2017: 80 trade ideas
  2018: 114 trade ideas
  2019: 65 trade ideas
  2020: 170 trade ideas
  2021: 114 trade ideas
  2022: 1 trade ideas
